SUB_CLASS,CATEGORY,MAIN_CLASS,KMD,ROW_COUNT,GENERAL_ABBREVIATION,ASSOCIATED_LIPID_MAPS_EXAMPLES
Fatty acyl carnitines [FA0707],Fatty Acyls [FA],Fatty esters [FA07],0.889,38,CAR X:0,"['CAR 6:0', 'CAR 8:0', 'CAR 4:0', 'CAR 16:0', 'CAR 3:0', 'CAR 10:0', 'CAR 18:0', 'CAR 9:0', 'CAR 5:0', 'CAR 11:0', 'CAR 2:0', 'CAR 2:0', 'CAR 18:0', 'CAR 20:0', 'CAR 4:0', 'CAR 10:0', 'CAR 2:0', 'CAR 12:0', 'CAR 17:0', 'CAR 7:0', 'CAR 26:0', 'CAR 6:0', 'CAR 4:0', 'CAR 5:0', 'CAR 5:0', 'CAR 16:0', 'CAR 9:0', 'CAR 22:0', 'CAR 12:0', 'CAR 8:0', 'CAR 16:0', 'CAR 3:0', 'CAR 14:0', 'CAR 5:0', 'CAR 3:0', 'CAR 14:0', 'CAR 11:0', 'CAR 5:0']"
Fatty acyl carnitines [FA0707],Fatty Acyls [FA],Fatty esters [FA07],0.866,17,CAR X:0;O,"['CAR 18:0;O', 'CAR 12:0;O', 'CAR 14:0;O', 'CAR 4:0;O', 'CAR 12:0;O', 'CAR 20:0;O', 'CAR 5:0;O', 'CAR 18:0;O', 'CAR 14:0;O', 'CAR 4:0;O', 'CAR 6:0;O', 'CAR 5:0;O', 'CAR 3:0;O', 'CAR 16:0;O', 'CAR 16:0;O', 'CAR 10:0;O', 'CAR 8:0;O']"
Fatty acyl carnitines [FA0707],Fatty Acyls [FA],Fatty esters [FA07],0.8297,13,CAR X:1;O2,"['CAR 16:1;O2', 'CAR 5:1;O2', 'CAR 3:1;O2', 'CAR 4:1;O2', 'CAR 12:1;O2', 'CAR 14:1;O2', 'CAR 18:1;O2', 'CAR 6:1;O2', 'CAR 5:1;O2', 'CAR 3:1;O2', 'CAR 4:1;O2', 'CAR 10:1;O2', 'CAR 4:1;O2']"
CDP-Dialkylglycerols [GP1304],Glycerophospholipids [GP],CDP-Glycerols [GP13],0.4151,1,CDP-DG dO-X:8,['CDP-DG dO-40:8']
CDP-diacylglycerols [GP1301],Glycerophospholipids [GP],CDP-Glycerols [GP13],0.4496,5,CDP-DG X:0,"['CDP-DG 24:0', 'CDP-DG 32:0', 'CDP-DG 34:0', 'CDP-DG 34:0', 'CDP-DG 36:0']"
Steryl esters [ST0102],Sterol Lipids [ST],Sterol Lipids [ST],0.887113334022956,,CE X:0,
Steryl esters [ST0102],Sterol Lipids [ST],Sterols [ST01],0.8278,1,CE X:1;O2,['CE 9:1;O2']
1-deoxyceramides [SP0206],Sphingolipids [SP],Ceramides [SP02],0.9482,6,Cer X:0;O,"['Cer 44:0;O', 'Cer 42:0;O', 'Cer 40:0;O', 'Cer 38:0;O', 'Cer 36:0;O', 'Cer 34:0;O']"
N-acylsphinganines (dihydroceramides) [SP0202],Sphingolipids [SP],Ceramides [SP02],0.9253,31,Cer X:0;O2,"['Cer 34:0;O2', 'Cer 36:0;O2', 'Cer 38:0;O2', 'Cer 40:0;O2', 'Cer 42:0;O2', 'Cer 44:0;O2', 'Cer 32:0;O2', 'Cer 31:0;O2', 'Cer 33:0;O2', 'Cer 35:0;O2', 'Cer 36:0;O2', 'Cer 38:0;O2', 'Cer 40:0;O2', 'Cer 42:0;O2', 'Cer 44:0;O2', 'Cer 46:0;O2', 'Cer 46:0;O2', 'Cer 45:0;O2', 'Cer 43:0;O2', 'Cer 41:0;O2', 'Cer 39:0;O2', 'Cer 37:0;O2', 'Cer 47:0;O2', 'Cer 48:0;O2', 'Cer 49:0;O2', 'Cer 50:0;O2', 'Cer 32:0;O2', 'Cer 38:0;O2', 'Cer 39:0;O2', 'Cer 40:0;O2', 'Cer 26:0;O2']"
N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203],Sphingolipids [SP],Ceramides [SP02],0.9024,26,Cer X:0;O3,"['Cer 34:0;O3', 'Cer 42:0;O3', 'Cer 44:0;O3', 'Cer 36:0;O3', 'Cer 38:0;O3', 'Cer 40:0;O3', 'Cer 36:0;O3', 'Cer 38:0;O3', 'Cer 40:0;O3', 'Cer 42:0;O3', 'Cer 44:0;O3', 'Cer 46:0;O3', 'Cer 32:0;O3', 'Cer 33:0;O3', 'Cer 35:0;O3', 'Cer 37:0;O3', 'Cer 39:0;O3', 'Cer 41:0;O3', 'Cer 43:0;O3', 'Cer 45:0;O3', 'Cer 46:0;O3', 'Cer 47:0;O3', 'Cer 48:0;O3', 'Cer 49:0;O3', 'Cer 50:0;O3', 'Cer 31:0;O3']"
N-acylsphinganines (dihydroceramides) [SP0202],Sphingolipids [SP],Ceramides [SP02],0.9024,25,Cer X:0;O3,"['Cer 42:0;O3', 'Cer 44:0;O3', 'Cer 35:0;O3', 'Cer 34:0;O3', 'Cer 36:0;O3', 'Cer 38:0;O3', 'Cer 40:0;O3', 'Cer 42:0;O3', 'Cer 44:0;O3', 'Cer 36:0;O3', 'Cer 38:0;O3', 'Cer 40:0;O3', 'Cer 42:0;O3', 'Cer 44:0;O3', 'Cer 46:0;O3', 'Cer 46:0;O3', 'Cer 47:0;O3', 'Cer 48:0;O3', 'Cer 49:0;O3', 'Cer 50:0;O3', 'Cer 51:0;O3', 'Cer 52:0;O3', 'Cer 54:0;O3', 'Cer 43:0;O3', 'Cer 45:0;O3']"
N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203],Sphingolipids [SP],Ceramides [SP02],0.8794,48,Cer X:0;O4,"['Cer 42:0;O4', 'Cer 44:0;O4', 'Cer 34:0;O4', 'Cer 36:0;O4', 'Cer 38:0;O4', 'Cer 40:0;O4', 'Cer 36:0;O4', 'Cer 38:0;O4', 'Cer 40:0;O4', 'Cer 42:0;O4', 'Cer 44:0;O4', 'Cer 46:0;O4', 'Cer 42:0;O4', 'Cer 38:0;O4', 'Cer 39:0;O4', 'Cer 37:0;O4', 'Cer 39:0;O4', 'Cer 40:0;O4', 'Cer 38:0;O4', 'Cer 39:0;O4', 'Cer 40:0;O4', 'Cer 41:0;O4', 'Cer 46:0;O4', 'Cer 47:0;O4', 'Cer 48:0;O4', 'Cer 49:0;O4', 'Cer 50:0;O4', 'Cer 51:0;O4', 'Cer 52:0;O4', 'Cer 54:0;O4', 'Cer 35:0;O4', 'Cer 37:0;O4', 'Cer 39:0;O4', 'Cer 41:0;O4', 'Cer 43:0;O4', 'Cer 45:0;O4', 'Cer 46:0;O4', 'Cer 47:0;O4', 'Cer 48:0;O4', 'Cer 49:0;O4', 'Cer 50:0;O4', 'Cer 51:0;O4', 'Cer 52:0;O4', 'Cer 53:0;O4', 'Cer 32:0;O4', 'Cer 42:0;O4', 'Cer 41:0;O4', 'Cer 39:0;O4']"
N-acylsphingosines (ceramides) [SP0201],Sphingolipids [SP],Ceramides [SP02],0.9119,44,Cer X:1;O2,"['Cer 32:1;O2', 'Cer 30:1;O2', 'Cer 34:1;O2', 'Cer 36:1;O2', 'Cer 38:1;O2', 'Cer 40:1;O2', 'Cer 44:1;O2', 'Cer 42:1;O2', 'Cer 43:1;O2', 'Cer 20:1;O2', 'Cer 33:1;O2', 'Cer 38:1;O2', 'Cer 39:1;O2', 'Cer 35:1;O2', 'Cer 41:1;O2', 'Cer 37:1;O2', 'Cer 30:1;O2', 'Cer 32:1;O2', 'Cer 34:1;O2', 'Cer 36:1;O2', 'Cer 38:1;O2', 'Cer 40:1;O2', 'Cer 35:1;O2', 'Cer 37:1;O2', 'Cer 39:1;O2', 'Cer 34:1;O2', 'Cer 36:1;O2', 'Cer 40:1;O2', 'Cer 33:1;O2', 'Cer 39:1;O2', 'Cer 45:1;O2', 'Cer 46:1;O2', 'Cer 47:1;O2', 'Cer 48:1;O2', 'Cer 49:1;O2', 'Cer 50:1;O2', 'Cer 51:1;O2', 'Cer 52:1;O2', 'Cer 53:1;O2', 'Cer 37:1;O2', 'Cer 31:1;O2', 'Cer 35:1;O2', 'Cer 41:1;O2', 'Cer 43:1;O2']"
N-acylsphingosines (ceramides) [SP0201],Sphingolipids [SP],Ceramides [SP02],0.889,77,Cer X:1;O3,"['Cer 34:1;O3', 'Cer 36:1;O3', 'Cer 38:1;O3', 'Cer 40:1;O3', 'Cer 36:1;O3', 'Cer 38:1;O3', 'Cer 40:1;O3', 'Cer 34:1;O3', 'Cer 34:1;O3', 'Cer 38:1;O3', 'Cer 38:1;O3', 'Cer 44:1;O3', 'Cer 45:1;O3', 'Cer 46:1;O3', 'Cer 47:1;O3', 'Cer 48:1;O3', 'Cer 49:1;O3', 'Cer 50:1;O3', 'Cer 51:1;O3', 'Cer 52:1;O3', 'Cer 53:1;O3', 'Cer 54:1;O3', 'Cer 48:1;O3', 'Cer 49:1;O3', 'Cer 50:1;O3', 'Cer 51:1;O3', 'Cer 47:1;O3', 'Cer 46:1;O3', 'Cer 45:1;O3', 'Cer 44:1;O3', 'Cer 43:1;O3', 'Cer 42:1;O3', 'Cer 41:1;O3', 'Cer 40:1;O3', 'Cer 39:1;O3', 'Cer 38:1;O3', 'Cer 37:1;O3', 'Cer 36:1;O3', 'Cer 35:1;O3', 'Cer 34:1;O3', 'Cer 32:1;O3', 'Cer 33:1;O3', 'Cer 36:1;O3', 'Cer 35:1;O3', 'Cer 34:1;O3', 'Cer 33:1;O3', 'Cer 32:1;O3', 'Cer 37:1;O3', 'Cer 38:1;O3', 'Cer 39:1;O3', 'Cer 40:1;O3', 'Cer 41:1;O3', 'Cer 42:1;O3', 'Cer 43:1;O3', 'Cer 44:1;O3', 'Cer 45:1;O3', 'Cer 46:1;O3', 'Cer 47:1;O3', 'Cer 48:1;O3', 'Cer 49:1;O3', 'Cer 50:1;O3', 'Cer 34:1;O3', 'Cer 36:1;O3', 'Cer 38:1;O3', 'Cer 40:1;O3', 'Cer 42:1;O3', 'Cer 44:1;O3', 'Cer 45:1;O3', 'Cer 46:1;O3', 'Cer 47:1;O3', 'Cer 48:1;O3', 'Cer 49:1;O3', 'Cer 35:1;O3', 'Cer 37:1;O3', 'Cer 39:1;O3', 'Cer 41:1;O3', 'Cer 43:1;O3']"
N-acylsphingosines (ceramides) [SP0201],Sphingolipids [SP],Ceramides [SP02],0.866,23,Cer X:1;O4,"['Cer 49:1;O4', 'Cer 50:1;O4', 'Cer 51:1;O4', 'Cer 52:1;O4', 'Cer 53:1;O4', 'Cer 54:1;O4', 'Cer 44:1;O4', 'Cer 45:1;O4', 'Cer 46:1;O4', 'Cer 47:1;O4', 'Cer 48:1;O4', 'Cer 43:1;O4', 'Cer 42:1;O4', 'Cer 41:1;O4', 'Cer 40:1;O4', 'Cer 39:1;O4', 'Cer 38:1;O4', 'Cer 37:1;O4', 'Cer 36:1;O4', 'Cer 35:1;O4', 'Cer 34:1;O4', 'Cer 33:1;O4', 'Cer 32:1;O4']"
N-acyl-4-hydroxysphinganines (phytoceramides) [SP0203],Sphingolipids [SP],Ceramides [SP02],0.8431,1,Cer X:1;O5,['Cer 44:1;O5']
Ceramide 1-phosphates [SP0205],Sphingolipids [SP],Ceramides [SP02],0.8023,1,CerP X:0;O2,['CerP 34:0;O2']
Ceramide 1-phosphates [SP0205],Sphingolipids [SP],Ceramides [SP02],0.766,1,CerP X:1;O3,['CerP 34:1;O3']
Ceramide phosphoethanolamines [SP0302],Sphingolipids [SP],Phosphosphingolipids [SP03],0.7965,1,CerPE X:0;O2,['CerPE 32:0;O2']
Ceramide phosphoethanolamines [SP0302],Sphingolipids [SP],Phosphosphingolipids [SP03],0.7735,2,CerPE X:0;O3,"['CerPE 36:0;O3', 'CerPE 32:0;O3']"
Diacylglycerophosphoglycerophosphodiradylglycerols [GP1201],Glycerophospholipids [GP],Glycerophosphoglycerophosphoglycerols [GP12],0.4615,81,CL X:0,"['CL 64:0', 'CL 66:0', 'CL 68:0', 'CL 66:0', 'CL 68:0', 'CL 70:0', 'CL 68:0', 'CL 70:0', 'CL 72:0', 'CL 66:0', 'CL 68:0', 'CL 70:0', 'CL 68:0', 'CL 70:0', 'CL 72:0', 'CL 70:0', 'CL 72:0', 'CL 74:0', 'CL 68:0', 'CL 70:0', 'CL 72:0', 'CL 70:0', 'CL 72:0', 'CL 74:0', 'CL 72:0', 'CL 74:0', 'CL 76:0', 'CL 66:0', 'CL 68:0', 'CL 70:0', 'CL 68:0', 'CL 70:0', 'CL 72:0', 'CL 70:0', 'CL 72:0', 'CL 74:0', 'CL 68:0', 'CL 70:0', 'CL 72:0', 'CL 70:0', 'CL 72:0', 'CL 74:0', 'CL 72:0', 'CL 74:0', 'CL 76:0', 'CL 70:0', 'CL 72:0', 'CL 74:0', 'CL 72:0', 'CL 74:0', 'CL 76:0', 'CL 74:0', 'CL 76:0', 'CL 78:0', 'CL 68:0', 'CL 70:0', 'CL 72:0', 'CL 70:0', 'CL 72:0', 'CL 74:0', 'CL 72:0', 'CL 74:0', 'CL 76:0', 'CL 70:0', 'CL 72:0', 'CL 74:0', 'CL 72:0', 'CL 74:0', 'CL 76:0', 'CL 74:0', 'CL 76:0', 'CL 78:0', 'CL 72:0', 'CL 74:0', 'CL 76:0', 'CL 74:0', 'CL 76:0', 'CL 78:0', 'CL 76:0', 'CL 78:0', 'CL 80:0']"
Monoacylglycerophosphoglycerophosphomonoradylglycerols [GP1207],Glycerophospholipids [GP],Glycerophosphoglycerophosphoglycerols [GP12],0.4806,1,CL X:4,['CL 36:4']
Diacylglycerophosphoglycerophosphomonoradylglycerols [GP1202],Glycerophospholipids [GP],Glycerophosphoglycerophosphoglycerols [GP12],0.4174,1,CL X:6,['CL 54:6']
Oxidized Cardiolipins [GP2003],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.3084,1,CL X:8;O2,['CL 72:8;O2']
Oxidized Cardiolipins [GP2003],Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],0.2625,2,CL X:8;O4,"['CL 72:8;O4', 'CL 72:8;O4']"
Fatty acyl CoAs [FA0705],Fatty Acyls [FA],Fatty esters [FA07],0.1994,34,CoA X:0;O,"['CoA 5:0;O', 'CoA 4:0;O', 'CoA 8:0;O', 'CoA 3:0;O', 'CoA 4:0;O', 'CoA 26:0;O', 'CoA 6:0;O', 'CoA 4:0;O', 'CoA 12:0;O', 'CoA 18:0;O', 'CoA 8:0;O', 'CoA 16:0;O', 'CoA 17:0;O', 'CoA 22:0;O', 'CoA 16:0;O', 'CoA 20:0;O', 'CoA 18:0;O', 'CoA 24:0;O', 'CoA 4:0;O', 'CoA 4:0;O', 'CoA 22:0;O', 'CoA 26:0;O', 'CoA 20:0;O', 'CoA 17:0;O', 'CoA 15:0;O', 'CoA 5:0;O', 'CoA 18:0;O', 'CoA 19:0;O', 'CoA 3:0;O', 'CoA 24:0;O', 'CoA 14:0;O', 'CoA 5:0;O', 'CoA 3:0;O', 'CoA 10:0;O']"
Fatty acyl CoAs [FA0705],Fatty Acyls [FA],Fatty esters [FA07],0.163,12,CoA X:1;O2,"['CoA 5:1;O2', 'CoA 4:1;O2', 'CoA 4:1;O2', 'CoA 7:1;O2', 'CoA 6:1;O2', 'CoA 6:1;O2', 'CoA 5:1;O2', 'CoA 3:1;O2', 'CoA 4:1;O2', 'CoA 2:1;O2', 'CoA 7:1;O2', 'CoA 4:1;O2']"
Fatty acyl CoAs [FA0705],Fatty Acyls [FA],Fatty esters [FA07],0.1171,1,CoA X:1;O4,['CoA 7:1;O4']
Fatty acyl CoAs [FA0705],Fatty Acyls [FA],Fatty esters [FA07],0.0808,1,CoA X:2;O5,['CoA 6:2;O5']
Monoacyl cyclic glycerophosphatidic acids [GP2501],Glycerophospholipids [GP],Cyclic glycerophosphatidic acids [GP25],0.7948,3,CPA X:0,"['CPA 18:0', 'CPA 16:0', 'CPA 14:0']"
Dialkylglycerols [GL0203],Glycerolipids [GL],Diradylglycerols [GL02],0.9216,1,DG dO-X:0,['DG dO-40:0']
Dialkylglycerols [GL0203],Glycerolipids [GL],Diradylglycerols [GL02],0.9446,2,DG dO-X:0,"['DG dO-40:0', 'DG dO-30:0']"
"1-alkyl,2-acylglycerols [GL0202]",Glycerolipids [GL],Diradylglycerols [GL02],0.8948,1,DG O-X:1,['DG O-34:1']
1Z-alkenylacylglycerols [GL0204],Glycerolipids [GL],Diradylglycerols [GL02],0.8814,1,DG O-X:2,['DG O-32:2']
"1-acyl,2-alkylglycerols [GL0207]",Glycerolipids [GL],Diradylglycerols [GL02],0.891,2,DG O-X:3,"['DG O-34:3', 'DG O-34:3']"
"1-acyl,2-alkylglycerols [GL0207]",Glycerolipids [GL],Diradylglycerols [GL02],0.8546,8,DG O-X:4,"['DG O-36:4', 'DG O-37:4', 'DG O-37:4', 'DG O-36:4', 'DG O-36:4', 'DG O-36:4', 'DG O-37:4', 'DG O-37:4']"
Diacylglycerols [GL0201],Glycerolipids [GL],Diradylglycerols [GL02],0.8719,64,DG X:0,"['DG 32:0', 'DG 36:0', 'DG 34:0', 'DG 38:0', 'DG 32:0', 'DG 33:0', 'DG 34:0', 'DG 34:0', 'DG 35:0', 'DG 35:0', 'DG 36:0', 'DG 36:0', 'DG 36:0', 'DG 37:0', 'DG 37:0', 'DG 38:0', 'DG 37:0', 'DG 38:0', 'DG 38:0', 'DG 38:0', 'DG 39:0', 'DG 39:0', 'DG 40:0', 'DG 39:0', 'DG 40:0', 'DG 40:0', 'DG 41:0', 'DG 41:0', 'DG 42:0', 'DG 42:0', 'DG 43:0', 'DG 44:0', 'DG 28:0', 'DG 24:0', 'DG 26:0', 'DG 30:0', 'DG 28:0', 'DG 29:0', 'DG 30:0', 'DG 31:0', 'DG 32:0', 'DG 33:0', 'DG 34:0', 'DG 29:0', 'DG 30:0', 'DG 31:0', 'DG 32:0', 'DG 33:0', 'DG 34:0', 'DG 35:0', 'DG 30:0', 'DG 31:0', 'DG 32:0', 'DG 33:0', 'DG 34:0', 'DG 35:0', 'DG 36:0', 'DG 31:0', 'DG 32:0', 'DG 33:0', 'DG 34:0', 'DG 35:0', 'DG 36:0', 'DG 37:0']"
Betaine diacylglycerols [GL0701],Glycerolipids [GL],Betaine diradylglycerols [GL07],0.7838,1,DGCC X:0,['DGCC 32:0']
Glycosylmonoalkylglycerols [GL0402],Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],0.6749,1,DGDG O-X:0,['DGDG O-20:0']
Glycosyldiacylglycerols [GL0501],Glycerolipids [GL],Glycosyldiradylglycerols [GL05],0.6156,2,DGDG X:0,"['DGDG 30:0', 'DGDG 30:0']"
Glycosyldiacylglycerols [GL0501],Glycerolipids [GL],Glycosyldiradylglycerols [GL05],0.4989,1,DGDG X:7;O,['DGDG 36:7;O']
Glycosylmonoacylglycerols [GL0401],Glycerolipids [GL],Glycosylmonoradylglycerols [GL04],0.652,1,DGMG X:0,['DGMG 16:0']
Betaine diacylglycerols [GL0701],Glycerolipids [GL],Betaine diradylglycerols [GL07],0.8067,4,DGTS X:0,"['DGTS 28:0', 'DGTS 32:0', 'DGTA 28:0', 'DGTA 30:0']"
Polyterpenes [PR0108],Prenol Lipids [PR],Isoprenoids [PR01],0.7704,2,Dihydromonoanhydrobacterioruberin,['Dihydromonoanhydrobacterioruberin']
